"","x"
"1","book_over_under"
"2","t1_rol_ou_err_l20"
"3","t2_rol_ou_err_l20"
"4","t2_.rol_play_count_pg_off_l3_diffl20"
"5","t2_rol_ou_err_l3"
"6","t2_.rol_pass_success_pp_def_l3"
"7","t1_.rol_pass_success_pp_def_l3"
"8","t2_.rol_punt_pg_off_l3_oa_diffl20"
"9","t1_.rol_run_wpa_pp_def_l1_oa"
"10","t1_.rol_EPA_pp_def_l1"
"11","t1_.rol_play_count_pg_off_l3_diffl20"
"12","t2_.rol_wpa_pp_off_l3_diffl20"
"13","t1_rol_ou_err_l3"
"14","t2_.rol_EPA_pp_def_l1"
"15","t2_.rol_pass_success_pp_def_l3_oa"
"16","t1_.rol_pass_pp_def_l3"
"17","t1_.rol_pass_pp_def_l3_diffl20"
"18","t1_.rol_run_EPA_pp_off_l3_oa_diffl20"
"19","t1_.rol_wpa_pp_def_l1_oa"
"20","t1_.rol_pass_success_pp_def_l20"
"21","t2_.rol_pass_success_pp_def_l20"
"22","t1_.rol_punt_pg_off_l3_diffl20"
"23","t2_.rol_punt_pg_off_l3_diffl20"
"24","t1_rol_pf_pg_ha_l20_oa"
"25","t2_.rol_run_EPA_pp_off_l1_oa"
"26","t2_.rol_play_count_pg_def_l1_oa"
"27","t2_.rol_EPA_pp_def_l20"
"28","t1_.rol_play_count_pg_off_l1"
"29","t1_.rol_run_EPA_pp_def_l3_oa_diffl20"
"30","t1_.rol_wpa_pp_off_l20"
"31","t1_.rol_punt_pg_off_l3_oa_diffl20"
"32","t1_.rol_EPA_pp_off_l3_diffl20"
"33","t2_.rol_pass_pp_def_l3_diffl20"
"34","t2_.rol_pass_pp_def_l3_oa"
"35","t2_.rol_pass_pp_def_l3"
"36","t1_.rol_run_success_pp_def_l20"
"37","t2_.rol_success_pp_def_l3_diffl20"
"38","t1_.rol_wpa_pp_off_l3_oa_diffl20"
"39","t2_.rol_wpa_pp_def_l1_oa"
"40","t1_rol_pf_pg_l3_oa"
