"","x"
"1","t1_.rol_play_count_pg_def_l3_diffl20"
"2","t2_.rol_play_count_pg_def_l3_diffl20"
"3","t2_.rol_pass_success_pp_def_l1_oa"
"4","t2_.rol_play_count_pg_def_l20"
"5","t1_.rol_pass_EPA_pp_def_l1_oa"
"6","t2_.rol_pass_wpa_pp_def_l3_oa"
"7","t1_.rol_play_count_pg_def_l20"
"8","t1_rol_pa_pg_l3_oa"
"9","t2_rol_spr_err_l20"
"10","t1_.rol_pass_wpa_pp_def_l3_oa"
"11","t2_.rol_pass_wpa_pp_def_l3_oa_diffl20"
"12","t2_rol_record_l3_diffl20"
"13","t1_.rol_turnover_pg_def_l20_oa"
"14","t2_.rol_punt_pg_off_l3_diffl20"
"15","t1_.rol_pass_success_pp_def_l1_oa"
"16","t1_rol_record_l20_oa"
"17","t1_.rol_pass_pp_def_l1"
"18","t1_.rol_run_success_pp_off_l20_oa"
"19","t1_.rol_run_wpa_pp_off_l20_oa"
"20","t2_.rol_play_count_pg_off_l1_oa"
"21","t2_.rol_run_EPA_pp_def_l1_oa"
"22","t1_.rol_run_success_pp_off_l3_oa_diffl20"
"23","t1_rol_record_l3_diffl20"
"24","t2_.rol_run_wpa_pp_def_l3"
"25","t1_.rol_pass_EPA_pp_off_l20"
"26","t2_.rol_pass_EPA_pp_off_l20"
"27","t1_.rol_pass_success_pp_off_l20"
"28","t1_.rol_pass_success_pp_def_l20_oa"
"29","t2_.rol_run_EPA_pp_def_l3"
"30","t1_.rol_turnover_pg_def_l3_oa"
"31","t1_.rol_pass_success_pp_def_l3_oa"
"32","t1_.rol_play_count_pg_off_l20"
"33","t2_.rol_play_count_pg_off_l20"
"34","t2_.rol_turnover_pg_def_l20_oa"
"35","t2_.rol_run_EPA_pp_off_l3_oa"
"36","t2_.rol_punt_pg_def_l3_oa_diffl20"
"37","t2_.rol_pass_pp_def_l1"
"38","t2_.rol_pass_success_pp_off_l20_oa"
"39","t2_rol_pf_pg_ha_l20_oa"
"40","t2_.rol_pass_pp_off_l3_oa"
"41","t2_.rol_play_count_pg_off_l20_oa"
"42","t2_.rol_pass_pp_def_l1_oa"
"43","t2_rol_pa_pg_l3_oa"
"44","t1_rol_opp_elo_l3"
"45","t2_.rol_pass_pp_def_l3_diffl20"
"46","t1_.rol_pass_success_pp_off_l20_oa"
"47","t2_.rol_punt_pg_off_l20_oa"
"48","t2_.rol_run_wpa_pp_def_l3_diffl20"
"49","t1_.rol_run_EPA_pp_def_l3_oa"
"50","t2_.rol_punt_pg_off_l20"
"51","t2_.rol_play_count_pg_off_l3_diffl20"
"52","t2_rol_pa_pg_l3_diffl20"
"53","t1_.rol_run_EPA_pp_def_l3"
"54","t1_rol_opp_talent_l3_diffl20"
"55","t1_rol_spr_err_l20"
"56","t1_.rol_wpa_pp_off_l3_oa"
"57","t2_.rol_run_success_pp_def_l3_diffl20"
"58","t1_.rol_pass_wpa_pp_def_l3_oa_diffl20"
"59","t2_.rol_pass_EPA_pp_def_l1_oa"
"60","t2_rol_opp_talent_l20"
"61","t1_.rol_run_wpa_pp_def_l3"
"62","t2_.rol_pass_EPA_pp_off_l3"
"63","t2_.rol_turnover_pg_off_l3_diffl20"
"64","t1_.rol_pass_EPA_pp_off_l1_oa"
"65","t2_rol_opp_elo_l20"
"66","t2_.rol_success_pp_def_l1"
"67","t1_.rol_play_count_pg_off_l1_oa"
"68","t1_rol_opp_talent_l20"
"69","t2_.rol_touchdown_pg_def_l3_diffl20"
"70","t2_rol_opp_elo_l3_diffl20"
"71","t1_rol_pf_pg_l20"
"72","t1_.rol_run_EPA_pp_def_l1"
"73","t2_.rol_play_count_pg_def_l1_oa"
"74","t1_rol_opp_elo_l1"
"75","t1_.rol_touchdown_pg_def_l3_diffl20"
"76","t2_.rol_wpa_pp_def_l1"
"77","t2_.rol_pass_success_pp_off_l20"
"78","t2_.rol_pass_success_pp_def_l20_oa"
"79","t1_.rol_pass_wpa_pp_def_l3"
"80","t2_rol_pf_pg_l20_oa"
"81","t1_.rol_run_EPA_pp_def_l3_oa_diffl20"
"82","t2_.rol_run_success_pp_off_l1_oa"
"83","t1_.rol_play_count_pg_off_l1"
"84","t2_.rol_pass_wpa_pp_def_l1_oa"
"85","t1_.rol_pass_pp_def_l1_oa"
"86","t1_book_spread"
"87","t2_.rol_success_pp_def_l3"
"88","t2_rol_opp_talent_l1"
"89","t1_.rol_sack_pg_def_l3_diffl20"
"90","t2_.rol_turnover_pg_def_l3_oa"
"91","t2_.rol_EPA_pp_def_l3"
"92","t1_.rol_pass_EPA_pp_off_l20_oa"
"93","t1_.rol_sack_pg_off_l3_oa"
"94","t1_.rol_sack_pg_off_l3_oa_diffl20"
"95","t1_.rol_run_EPA_pp_def_l1_oa"
"96","t2_.rol_EPA_pp_off_l1"
"97","t1_.rol_pass_EPA_pp_off_l1"
"98","t2_.rol_pass_wpa_pp_def_l3_diffl20"
"99","t1_.rol_sack_pg_def_l1_oa"
"100","t1_rol_pf_pg_l3_oa_diffl20"
"101","t1_.rol_pass_pp_def_l3_diffl20"
"102","t1_.rol_EPA_pp_def_l20"
"103","t2_.rol_play_count_pg_off_l3_oa"
"104","t2_.rol_pass_pp_def_l3"
"105","t2_.rol_pass_success_pp_def_l3_oa_diffl20"
"106","t2_.rol_pass_EPA_pp_off_l3_oa"
"107","t1_.rol_pass_pp_off_l1_oa"
"108","t1_.rol_wpa_pp_def_l3_oa"
"109","t2_.rol_turnover_pg_def_l20"
"110","t1_.rol_punt_pg_off_l20_oa"
"111","t1_.rol_pass_pp_off_l20_oa"
"112","t2_rol_record_l20_oa"
