"","x"
"1","t1_book_spread"
"2","t2_.rol_play_count_pg_off_l3_diffl20"
"3","t1_elo"
"4","t2_elo"
"5","t2_.rol_play_count_pg_def_l3_diffl20"
"6","t1_.rol_play_count_pg_off_l3_diffl20"
"7","t1_.rol_play_count_pg_def_l3_diffl20"
"8","t1_.rol_play_count_pg_off_l20"
"9","t2_.rol_punt_pg_def_l3_oa_diffl20"
"10","t2_.rol_play_count_pg_off_l20"
"11","t1_.rol_play_count_pg_def_l20"
"12","t1_.rol_punt_pg_def_l3_oa_diffl20"
"13","t2_.rol_play_count_pg_def_l20"
"14","t2_rol_pa_pg_ha_l20"
"15","t1_rol_pa_pg_ha_l20"
"16","t1_.rol_punt_pg_def_l3_diffl20"
"17","t1_rol_record_l20"
"18","t2_.rol_sack_pg_def_l20"
"19","t2_.rol_turnover_pg_def_l20_oa"
"20","t1_.rol_pass_wpa_pp_def_l3_oa_diffl20"
"21","t1_.rol_turnover_pg_off_l3_diffl20"
"22","t1_home"
"23","t1_.rol_turnover_pg_def_l20_oa"
"24","t2_.rol_play_count_pg_def_l20_oa"
"25","t2_rol_pf_pg_l3"
"26","t2_.rol_pass_wpa_pp_def_l3_oa_diffl20"
"27","t1_.rol_wpa_pp_off_l20_oa"
"28","t2_.rol_punt_pg_def_l3_diffl20"
"29","t1_.rol_touchdown_pg_off_l3_oa_diffl20"
"30","t1_rol_pa_pg_l3_oa"
"31","t2_.rol_run_success_pp_def_l1_oa"
"32","t1_rol_pa_pg_l1_oa"
"33","t2_talent"
"34","t1_talent"
"35","t2_.rol_run_wpa_pp_off_l1"
"36","t2_rol_pa_pg_l20"
"37","t1_rol_pf_pg_l3"
"38","t2_.rol_run_wpa_pp_def_l3"
"39","t2_.rol_run_success_pp_def_l3"
"40","t1_.rol_sack_pg_def_l20_oa"
"41","t2_.rol_wpa_pp_def_l20_oa"
"42","t1_.rol_play_count_pg_off_l3_oa_diffl20"
"43","t1_.rol_sack_pg_def_l1_oa"
"44","t2_.rol_play_count_pg_off_l3_oa_diffl20"
"45","t1_.rol_run_success_pp_def_l1_oa"
"46","t2_.rol_run_wpa_pp_def_l20_oa"
"47","t1_.rol_wpa_pp_off_l20"
"48","t2_.rol_run_wpa_pp_def_l1"
"49","t1_rol_record_ha_l20_oa"
"50","t2_.rol_pass_pp_def_l20"
"51","t1_.rol_run_success_pp_def_l3"
"52","t2_.rol_pass_pp_def_l1"
"53","t1_.rol_pass_success_pp_off_l20_oa"
"54","t1_rol_opp_elo_l3"
"55","t2_rol_opp_elo_l3"
