"","t1_team","t2_team","t1_home","neutral_site","t1_conference","t2_conference","game_id","pred_t1_wp","t1_win","conference_game","week","t1_color","t1_logo","t2_color","t2_logo","winning_logo","losing_logo","winning_color","winning_team","losing_team"
"1","Ball State","Wyoming",1,0,"Mid-American","Mountain West",1,0.2774,0,0,8,"#DA0000","http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png","#492f24","Wyoming","Ball State"
"2","Tennessee","Wyoming",1,0,"SEC","Mountain West",2,0.9096,1,0,8,"#ff8200","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","#ff8200","Tennessee","Wyoming"
"3","Coastal Carolina","Wyoming",1,0,"Sun Belt","Mountain West",3,0.3958,0,0,8,"#007073","http://a.espncdn.com/i/teamlogos/ncaa/500/324.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/324.png","#492f24","Wyoming","Coastal Carolina"
"4","Houston","Wyoming",1,0,"Big 12","Mountain West",4,0.7276,1,0,8,"#c92a39","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","#c92a39","Houston","Wyoming"
"5","Texas Tech","Wyoming",1,0,"Big 12","Mountain West",5,0.8865,1,0,8,"#CC0000","http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","#CC0000","Texas Tech","Wyoming"
"6","Texas A&M","Wyoming",1,0,"SEC","Mountain West",6,0.9111,1,0,8,"#500000","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","#500000","Texas A&M","Wyoming"
"7","South Alabama","Wyoming",1,0,"Sun Belt","Mountain West",7,0.4588,0,0,8,"#00205B","http://a.espncdn.com/i/teamlogos/ncaa/500/6.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/6.png","#492f24","Wyoming","South Alabama"
"8","Tulane","Wyoming",1,0,"American Athletic","Mountain West",8,0.7358,1,0,8,"#006547","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","#006547","Tulane","Wyoming"
"9","Missouri","Wyoming",1,0,"SEC","Mountain West",9,0.8673,1,0,8,"#f1b82d","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","#f1b82d","Missouri","Wyoming"
"10","Utah","Wyoming",1,0,"Big 12","Mountain West",10,0.885,1,0,8,"#ea002a","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","#ea002a","Utah","Wyoming"
"11","Akron","Wyoming",1,0,"Mid-American","Mountain West",11,0.2238,0,0,8,"#00285e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","#492f24","Wyoming","Akron"
"12","TCU","Wyoming",1,0,"Big 12","Mountain West",12,0.8778,1,0,8,"#4d1979","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png","#492f24","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","#4d1979","TCU","Wyoming"
