"","Team","Conf","Pred Win%","Pred Record","Pred Conf Win%","Pred Conf Record","Rank","Conf Rank"
"1","Georgia","SEC",87.82,"11-1",79.44,"10-2",1,1
"2","Oregon","Big Ten",84.51,"10-2",75.87,"9-3",2,1
"3","Penn State","Big Ten",84.39,"10-2",76.56,"9-3",3,2
"4","Ohio State","Big Ten",83.71,"10-2",75.82,"9-3",4,3
"5","Indiana","Big Ten",80.9,"10-2",71.94,"9-3",5,4
"6","Tennessee","SEC",80.13,"10-2",59.96,"7-5",6,2
"7","Ole Miss","SEC",79.76,"10-2",64.01,"8-4",7,3
"8","Alabama","SEC",79.62,"10-2",60.4,"7-5",8,4
"9","Missouri","SEC",77.75,"9-3",58.47,"7-5",9,5
"10","USC","Big Ten",77.51,"9-3",64.16,"8-4",10,5
"11","Texas","SEC",77.18,"9-3",56.18,"7-5",11,6
"12","Miami","ACC",76.31,"9-3",76.29,"9-3",12,1
"13","Notre Dame","FBS Independents",76.05,"9-3",93.42,"11-1",13,1
"14","Kansas","Big 12",75.47,"9-3",69.16,"8-4",14,1
"15","Vanderbilt","SEC",75.07,"9-3",54.94,"7-5",15,7
"16","Texas A&M","SEC",74.79,"9-3",51.15,"6-6",16,8
"17","LSU","SEC",74.41,"9-3",51.04,"6-6",17,9
"18","Michigan","Big Ten",74.21,"9-3",58.32,"7-5",18,6
"19","Texas Tech","Big 12",73.81,"9-3",68.37,"8-4",19,2
"20","Oklahoma","SEC",72.44,"9-3",50.97,"6-6",20,10
"21","Florida State","ACC",71.52,"9-3",68.78,"8-4",21,2
"22","Iowa State","Big 12",71.28,"9-3",64.15,"8-4",22,3
"23","Washington","Big Ten",70.64,"8-4",54.26,"7-5",23,7
"24","Arkansas","SEC",70.42,"8-4",45.06,"5-7",24,11
"25","Nebraska","Big Ten",70.25,"8-4",54.36,"7-5",25,8
"26","Arizona State","Big 12",69.66,"8-4",61.05,"7-5",26,4
"27","Clemson","ACC",68.62,"8-4",64.21,"8-4",27,3
"28","Iowa","Big Ten",68.57,"8-4",51.83,"6-6",28,9
"29","Virginia","ACC",68.09,"8-4",64.83,"8-4",29,4
"30","TCU","Big 12",67.71,"8-4",59.01,"7-5",30,5
"31","BYU","Big 12",65.84,"8-4",58.33,"7-5",31,6
"32","Louisville","ACC",65.75,"8-4",61.02,"7-5",32,5
"33","Illinois","Big Ten",65.19,"8-4",47.08,"6-6",33,10
"34","Minnesota","Big Ten",63.42,"8-4",45.16,"5-7",34,11
"35","Auburn","SEC",63.21,"8-4",35.91,"4-8",35,12
"36","Utah","Big 12",62.8,"8-4",51.43,"6-6",36,7
"37","Mississippi State","SEC",62.66,"8-4",36.34,"4-8",37,13
"38","SMU","ACC",62.37,"7-5",57.07,"7-5",38,6
"39","Florida","SEC",61.9,"7-5",34.38,"4-8",39,14
"40","Navy","American Athletic",61.81,"7-5",72.86,"9-3",40,1
"41","North Texas","American Athletic",61.63,"7-5",72.37,"9-3",41,2
"42","UCF","Big 12",61.33,"7-5",50.19,"6-6",42,8
"43","Wisconsin","Big Ten",61.23,"7-5",41.6,"5-7",43,12
"44","Georgia Tech","ACC",61.07,"7-5",54.5,"7-5",44,7
"45","Kansas State","Big 12",60.68,"7-5",48.13,"6-6",45,9
"46","South Carolina","SEC",60.64,"7-5",32.95,"4-8",46,15
"47","Colorado","Big 12",59.9,"7-5",48.61,"6-6",47,10
"48","Pittsburgh","ACC",59.76,"7-5",53.63,"6-6",48,8
"49","Ohio","Mid-American",58.9,"7-5",81.96,"10-2",49,1
"50","Cincinnati","Big 12",58.81,"7-5",49.37,"6-6",50,11
"51","James Madison","Sun Belt",57.74,"7-5",76.54,"9-3",51,1
"52","Rutgers","Big Ten",57.54,"7-5",39.78,"5-7",52,13
"53","Boise State","Mountain West",57.19,"7-5",71.79,"9-3",53,1
"54","Maryland","Big Ten",56.79,"7-5",38.13,"5-7",54,14
"55","Memphis","American Athletic",56.38,"7-5",64.98,"8-4",55,3
"56","Kentucky","SEC",56.36,"7-5",28.81,"3-9",56,16
"57","Syracuse","ACC",56.35,"7-5",47.42,"6-6",57,9
"58","NC State","ACC",55.88,"7-5",47.65,"6-6",58,10
"59","Houston","Big 12",54.64,"7-5",43.33,"5-7",59,12
"60","East Carolina","American Athletic",53.98,"6-6",63.88,"8-4",60,4
"61","Boston College","ACC",53.54,"6-6",45.49,"5-7",61,11
"62","Old Dominion","Sun Belt",53.41,"6-6",75.23,"9-3",62,2
"63","Baylor","Big 12",53.38,"6-6",40.19,"5-7",63,13
"64","Tulane","American Athletic",51.24,"6-6",59.21,"7-5",64,5
"65","Toledo","Mid-American",50.6,"6-6",75.18,"9-3",65,2
"66","Duke","ACC",50.56,"6-6",43.81,"5-7",66,12
"67","Michigan State","Big Ten",50.48,"6-6",32.26,"4-8",67,15
"68","Army","American Athletic",48.53,"6-6",57.54,"7-5",68,6
"69","Jacksonville State","Conference USA",48.26,"6-6",68.85,"8-4",69,1
