"","actual_t1_cover","game_id","t1_team","t2_team","pred_t1_cp","pred_t1_cover","actual_t1_win","pred_t1_wp","pred_t1_win","actual_over","pred_op","pred_over","t1_book_spread","book_over_under","week","season","t1_home","neutral_site","t1_conference","t2_conference","t1_moneyline","t2_moneyline","spread_correct","spread_winnings","naive_spread_winnings","cover_confidence","t1_ml_prob","t2_ml_prob","pred_t1_ml_value","pred_t2_ml_value","pred_t1_ml_bet","pred_t2_ml_bet","ml_correct","ml_winnings","naive_ml_winnings","ml_value","ou_correct","ou_winnings","naive_ou_winnings","ou_confidence"
"1",1,401282811,"Ohio State","Akron",0.4744,0,1,0.753,1,0,0.4917,0,-48.5,66.5,4,2021,1,0,"Big Ten","Mid-American",NA,NA,0,0,0.954545455,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.909090909,0.954545455,0.0083
"2",0,401309859,"Oregon","Arizona",0.5279,1,1,0.7365,1,1,0.5479,1,-29.5,59,4,2021,1,0,"Pac-12","Pac-12",-6500,1325,0,0,0.954545455,0.0279,0.984848485,0.070175439,-0.248348485,0.193324561,0,1,0,0,0.507692308,0.193324561,1,1.909090909,0.954545455,0.0479
"3",0,401282082,"Texas A&M","Arkansas",0.3596,0,0,0.5966,1,0,0.5269,1,-4.5,47,4,2021,0,1,"SEC","SEC",-195,165,1,1.909090909,0.954545455,0.1404,0.661016949,0.377358491,-0.064416949,0.026041509,0,1,1,2.65,1.325,0.026041509,0,0,0.954545455,0.0269
"4",0,401301011,"Tulsa","Arkansas State",0.5755,1,1,0.7115,1,1,0.3954,0,-14.5,65,4,2021,1,0,"American Athletic","Sun Belt",-665,450,0,0,0.954545455,0.0755,0.869281046,0.181818182,-0.157781046,0.106681818,0,1,0,0,0.57518797,0.106681818,0,0,0.954545455,0.1046
"5",0,401310706,"Utah State","Boise State",0.6131,1,0,0.3932,0,0,0.4529,0,9.5,69.5,4,2021,1,0,"Mountain West","Mountain West",280,-360,0,0,0.954545455,0.1131,0.263157895,0.782608696,0.130042105,-0.175808696,1,0,0,0,0.638888889,0.130042105,1,1.909090909,0.954545455,0.0471
"6",0,401282792,"Minnesota","Bowling Green",0.5503,1,0,0.7399,1,0,0.5747,1,-30.5,51,4,2021,1,0,"Big Ten","Mid-American",NA,NA,0,0,0.954545455,0.0503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.954545455,0.0747
"7",1,401282209,"Old Dominion","Buffalo",0.5857,1,0,0.3472,0,1,0.3637,0,13,50.5,4,2021,1,0,"Conference USA","Mid-American",390,-545,1,1.909090909,0.954545455,0.0857,0.204081633,0.84496124,0.143118367,-0.19216124,1,0,0,0,0.591743119,0.143118367,0,0,0.954545455,0.1363
"8",0,401309857,"Washington","California",0.5635,1,1,0.639,1,1,0.6351,1,-7.5,47.5,4,2021,1,0,"Pac-12","Pac-12",-320,260,0,0,0.954545455,0.0635,0.761904762,0.277777778,-0.122904762,0.083222222,0,1,0,0,0.65625,0.083222222,1,1.909090909,0.954545455,0.1351
"9",1,401282643,"NC State","Clemson",0.3659,0,1,0.3143,0,1,0.647,1,10.5,47.5,4,2021,1,0,"ACC","ACC",290,-380,0,0,0.954545455,0.1341,0.256410256,0.791666667,0.057889744,-0.105966667,1,0,1,3.9,1.95,0.057889744,1,1.909090909,0.954545455,0.147
"10",0,401282756,"Iowa","Colorado State",0.3713,0,1,0.7283,1,0,0.4876,0,-23.5,43.5,4,2021,1,0,"Big Ten","Mountain West",-2500,1050,1,1.909090909,0.954545455,0.1287,0.961538462,0.086956522,-0.233238462,0.184743478,0,1,0,0,0.52,0.184743478,1,1.909090909,0.954545455,0.0124
"11",0,401282088,"Vanderbilt","Georgia",0.5319,1,0,0.2362,0,1,0.5287,1,36,54,4,2021,1,0,"SEC","SEC",NA,NA,0,0,0.954545455,0.0319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.909090909,0.954545455,0.0287
"12",0,401282641,"North Carolina","Georgia Tech",0.6205,1,0,0.724,1,1,0.3951,0,-14.5,65.5,4,2021,0,1,"ACC","ACC",-555,395,0,0,0.954545455,0.1205,0.847328244,0.202020202,-0.123328244,0.073979798,0,1,1,4.95,2.475,0.073979798,0,0,0.954545455,0.1049
"13",0,401310708,"New Mexico State","Hawai'i",0.5616,1,0,0.3242,0,0,0.4922,0,17,63,4,2021,1,0,"FBS Independents","Mountain West",575,-900,0,0,0.954545455,0.0616,0.148148148,0.9,0.176051852,-0.2242,1,0,0,0,0.555555556,0.176051852,1,1.909090909,0.954545455,0.0078
"14",0,401282716,"Purdue","Illinois",0.3919,0,1,0.6594,1,0,0.5528,1,-10.5,53.5,4,2021,1,0,"Big Ten","Big Ten",-455,335,1,1.909090909,0.954545455,0.1081,0.81981982,0.229885057,-0.16041982,0.110714943,0,1,0,0,0.60989011,0.110714943,0,0,0.954545455,0.0528
"15",1,401282214,"Western Kentucky","Indiana",0.6307,1,0,0.4188,0,1,0.5463,1,9.5,62.5,4,2021,1,0,"Conference USA","Big Ten",280,-360,1,1.909090909,0.954545455,0.1307,0.263157895,0.782608696,0.155642105,-0.201408696,1,0,0,0,0.638888889,0.155642105,1,1.909090909,0.954545455,0.0463
"16",1,401287909,"Oklahoma State","Kansas State",0.6102,1,1,0.6387,1,1,0.4031,0,-6,47.5,4,2021,1,0,"Big 12","Big 12",-210,175,1,1.909090909,0.954545455,0.1102,0.677419355,0.363636364,-0.038719355,-0.002336364,0,0,0,1,0.738095238,-0.002336364,0,0,0.954545455,0.0969
"17",1,401282765,"Maryland","Kent State",0.4322,0,1,0.6604,1,0,0.5981,1,-13,71.5,4,2021,1,0,"Big Ten","Mid-American",-635,435,0,0,0.954545455,0.0678,0.863945578,0.186915888,-0.203545578,0.152684112,0,1,0,0,0.578740157,0.152684112,0,0,0.954545455,0.0981
"18",0,401282087,"South Carolina","Kentucky",0.5006,1,0,0.3726,0,0,0.4671,0,4.5,49,4,2021,1,0,"SEC","SEC",170,-200,0,0,0.954545455,6e-04,0.37037037,0.666666667,0.00222963,-0.039266667,1,0,0,0,0.75,0.00222963,1,1.909090909,0.954545455,0.0329
"19",0,401282085,"Mississippi State","LSU",0.6616,1,0,0.4702,0,0,0.5561,1,1.5,55,4,2021,1,0,"SEC","SEC",105,-125,0,0,0.954545455,0.1616,0.487804878,0.555555556,-0.017604878,-0.025755556,0,0,0,1,0.9,-0.017604878,0,0,0.954545455,0.0561
"20",1,401282637,"Syracuse","Liberty",0.3385,0,1,0.3581,0,0,0.6017,1,6.5,54,4,2021,1,0,"ACC","FBS Independents",210,-250,0,0,0.954545455,0.1615,0.322580645,0.714285714,0.035519355,-0.072385714,1,0,1,3.1,1.55,0.035519355,0,0,0.954545455,0.1017
"21",1,401282212,"UTEP","New Mexico",0.6425,1,1,0.5195,1,0,0.4107,0,2.5,54,4,2021,1,0,"Conference USA","Mountain West",110,-130,1,1.909090909,0.954545455,0.1425,0.476190476,0.565217391,0.043309524,-0.084717391,1,0,1,2.1,1.05,0.043309524,1,1.909090909,0.954545455,0.0893
"22",0,401282707,"Wisconsin","Notre Dame",0.463,0,0,0.6026,1,1,0.5463,1,-6,44,4,2021,0,1,"Big Ten","FBS Independents",-225,185,1,1.909090909,0.954545455,0.037,0.692307692,0.350877193,-0.089707692,0.046522807,0,1,1,2.85,1.425,0.046522807,1,1.909090909,0.954545455,0.0463
"23",0,401309860,"USC","Oregon State",0.4216,0,0,0.652,1,1,0.515,1,-11,63,4,2021,1,0,"Pac-12","Pac-12",-460,340,1,1.909090909,0.954545455,0.0784,0.821428571,0.227272727,-0.169428571,0.120727273,0,1,1,4.4,2.2,0.120727273,1,1.909090909,0.954545455,0.015
"24",0,401287910,"TCU","SMU",0.4601,0,0,0.5989,1,1,0.4876,0,-9.5,65.5,4,2021,1,0,"Big 12","American Athletic",-380,290,1,1.909090909,0.954545455,0.0399,0.791666667,0.256410256,-0.192766667,0.144689744,0,1,1,3.9,1.95,0.144689744,0,0,0.954545455,0.0124
"25",1,401309554,"Western Michigan","San José State",0.4518,0,1,0.5052,1,0,0.5112,1,-2.5,62,4,2021,1,0,"Mid-American","Mountain West",-140,120,0,0,0.954545455,0.0482,0.583333333,0.454545455,-0.078133333,0.040254545,0,1,0,0,0.857142857,0.040254545,0,0,0.954545455,0.0112
